,Model,Precision,Recall,Site,Threshold
81,/orange/ewhite/b.weinstein/retinanet/20190722_134844/resnet50_30.h5,0.47785547785547783,0.7536764705882353,SJER,0.1
82,/orange/ewhite/b.weinstein/retinanet/20190722_134844/resnet50_30.h5,0.6678445229681979,0.6948529411764706,SJER,0.2
83,/orange/ewhite/b.weinstein/retinanet/20190722_134844/resnet50_30.h5,0.7524271844660194,0.5698529411764706,SJER,0.30000000000000004
84,/orange/ewhite/b.weinstein/retinanet/20190722_134844/resnet50_30.h5,0.8648648648648649,0.47058823529411764,SJER,0.4
85,/orange/ewhite/b.weinstein/retinanet/20190722_134844/resnet50_30.h5,0.9285714285714286,0.33455882352941174,SJER,0.5
86,/orange/ewhite/b.weinstein/retinanet/20190722_134844/resnet50_30.h5,0.9824561403508771,0.20588235294117646,SJER,0.6000000000000001
87,/orange/ewhite/b.weinstein/retinanet/20190722_134844/resnet50_30.h5,1.0,0.09558823529411764,SJER,0.7000000000000001
88,/orange/ewhite/b.weinstein/retinanet/20190722_134844/resnet50_30.h5,1.0,0.022058823529411766,SJER,0.8
89,/orange/ewhite/b.weinstein/retinanet/20190722_134844/resnet50_30.h5,0.0,0.0,SJER,0.9
90,/orange/ewhite/b.weinstein/retinanet/20190722_135144/resnet50_30.h5,0.30403458213256485,0.7757352941176471,SJER,0.0
91,/orange/ewhite/b.weinstein/retinanet/20190722_135144/resnet50_30.h5,0.5272727272727272,0.7463235294117647,SJER,0.1
92,/orange/ewhite/b.weinstein/retinanet/20190722_135144/resnet50_30.h5,0.7019607843137254,0.6580882352941176,SJER,0.2
93,/orange/ewhite/b.weinstein/retinanet/20190722_135144/resnet50_30.h5,0.8372093023255814,0.5294117647058824,SJER,0.30000000000000004
94,/orange/ewhite/b.weinstein/retinanet/20190722_135144/resnet50_30.h5,0.926829268292683,0.41911764705882354,SJER,0.4
95,/orange/ewhite/b.weinstein/retinanet/20190722_135144/resnet50_30.h5,0.9736842105263158,0.27205882352941174,SJER,0.5
96,/orange/ewhite/b.weinstein/retinanet/20190722_135144/resnet50_30.h5,1.0,0.16544117647058823,SJER,0.6000000000000001
97,/orange/ewhite/b.weinstein/retinanet/20190722_135144/resnet50_30.h5,1.0,0.05514705882352941,SJER,0.7000000000000001
98,/orange/ewhite/b.weinstein/retinanet/20190722_135144/resnet50_30.h5,1.0,0.007352941176470588,SJER,0.8
99,/orange/ewhite/b.weinstein/retinanet/20190722_135144/resnet50_30.h5,0.0,0.0,SJER,0.9
100,/orange/ewhite/b.weinstein/retinanet/20190713_230957/resnet50_40.h5,0.3935837245696401,0.6671087533156499,TEAK,0.0
101,/orange/ewhite/b.weinstein/retinanet/20190713_230957/resnet50_40.h5,0.5951515151515151,0.6511936339522546,TEAK,0.1
102,/orange/ewhite/b.weinstein/retinanet/20190713_230957/resnet50_40.h5,0.7366720516962844,0.6047745358090185,TEAK,0.2
103,/orange/ewhite/b.weinstein/retinanet/20190713_230957/resnet50_40.h5,0.8007662835249042,0.5543766578249337,TEAK,0.30000000000000004
104,/orange/ewhite/b.weinstein/retinanet/20190713_230957/resnet50_40.h5,0.8452380952380952,0.4708222811671088,TEAK,0.4
105,/orange/ewhite/b.weinstein/retinanet/20190713_230957/resnet50_40.h5,0.8741935483870967,0.3594164456233422,TEAK,0.5
106,/orange/ewhite/b.weinstein/retinanet/20190713_230957/resnet50_40.h5,0.935,0.2480106100795756,TEAK,0.6000000000000001
107,/orange/ewhite/b.weinstein/retinanet/20190713_230957/resnet50_40.h5,0.9487179487179487,0.09814323607427056,TEAK,0.7000000000000001
108,/orange/ewhite/b.weinstein/retinanet/20190713_230957/resnet50_40.h5,0.9333333333333333,0.01856763925729443,TEAK,0.8
109,/orange/ewhite/b.weinstein/retinanet/20190713_230957/resnet50_40.h5,0.0,0.0,TEAK,0.9
110,/orange/ewhite/b.weinstein/retinanet/20190722_125907/resnet50_40.h5,0.3626453488372093,0.6618037135278515,TEAK,0.0
111,/orange/ewhite/b.weinstein/retinanet/20190722_125907/resnet50_40.h5,0.5829383886255924,0.6525198938992043,TEAK,0.1
112,/orange/ewhite/b.weinstein/retinanet/20190722_125907/resnet50_40.h5,0.733652312599681,0.610079575596817,TEAK,0.2
113,/orange/ewhite/b.weinstein/retinanet/20190722_125907/resnet50_40.h5,0.8022813688212928,0.5596816976127321,TEAK,0.30000000000000004
114,/orange/ewhite/b.weinstein/retinanet/20190722_125907/resnet50_40.h5,0.8422273781902552,0.48143236074270557,TEAK,0.4
115,/orange/ewhite/b.weinstein/retinanet/20190722_125907/resnet50_40.h5,0.8782051282051282,0.363395225464191,TEAK,0.5
116,/orange/ewhite/b.weinstein/retinanet/20190722_125907/resnet50_40.h5,0.9365079365079365,0.23474801061007958,TEAK,0.6000000000000001
117,/orange/ewhite/b.weinstein/retinanet/20190722_125907/resnet50_40.h5,0.9655172413793104,0.07427055702917772,TEAK,0.7000000000000001
118,/orange/ewhite/b.weinstein/retinanet/20190722_125907/resnet50_40.h5,1.0,0.009283819628647215,TEAK,0.8
119,/orange/ewhite/b.weinstein/retinanet/20190722_125907/resnet50_40.h5,0.0,0.0,TEAK,0.9
120,/orange/ewhite/b.weinstein/retinanet/20190722_130041/resnet50_40.h5,0.35678749111584934,0.6657824933687002,TEAK,0.0
121,/orange/ewhite/b.weinstein/retinanet/20190722_130041/resnet50_40.h5,0.5825471698113207,0.6551724137931034,TEAK,0.1
122,/orange/ewhite/b.weinstein/retinanet/20190722_130041/resnet50_40.h5,0.7266982622432859,0.610079575596817,TEAK,0.2
123,/orange/ewhite/b.weinstein/retinanet/20190722_130041/resnet50_40.h5,0.7981132075471699,0.5610079575596817,TEAK,0.30000000000000004
124,/orange/ewhite/b.weinstein/retinanet/20190722_130041/resnet50_40.h5,0.8465116279069768,0.4827586206896552,TEAK,0.4
125,/orange/ewhite/b.weinstein/retinanet/20190722_130041/resnet50_40.h5,0.8896103896103896,0.363395225464191,TEAK,0.5
